Title;Speaker;Place;Day;Time;Description
Breaking local stories with economic data (Sponsored by Donald W. Reynolds National Center for Business Journalism);Paul Overberg, Jeannine Aversa, Thomas Dail;Regency North;Wednesday;2 p.m. - 5 p.m.;Government data offer unparalleled opportunities to distinguish your reporting with trend stories about what's happening in your local economy. Especially this year, with the release of the every-five-year Economic Census, journalists will have a unique opportunity to track changes in their local community from 2007 - before the recession- to 2012.
CAR Conference Registration (Wednesday);TBA;2nd Floor;Wednesday;3 p.m. - 5 p.m.;Registration will be located on the 2nd floor of the Hyatt Regency Louisville.
CAR Conference Sales (Thursday);TBA;2nd Floor;Thursday;7:30 a.m. - 5 p.m.;"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, including the newest title in the IRE beat book series. The large selection of titles we carry will certainly include your interests. The winners of the IRE T-shirt contest will be displayed and on sale. The sales table is also the place to get your ticket to ""A Night on the Town"" an event that is sure to be a fun time! All proceeds from your purchase help support IRE and its mission."
CAR Conference Registration (Thursday);TBA;2nd Floor;Thursday;7:30 a.m. - 5 p.m.;Registration will be located on the 2nd floor of the Hyatt Regency Louisville.
Making the best use of the conference;Jaimi Dowdell, Mark Horvit, Megan Luther;Regency Center;Thursday;8:30 a.m. - 8:50 a.m.;Welcome to the conference! IRE staff will highlight key sessions and events that you won't want to miss while in Louisville. We'll also give you a brief rundown on some of the resources IRE has to offer.
Hands-on: Rapid data publishing with Caspio (Hosted by Caspio);TBA;Shawnee/Cherokee;Thursday;9 a.m. - 10:50 a.m.;"Primarily for those new to Caspio, this class introduces attendees to the Caspio Bridge framework for rapid database publishing. &nbsp;Learn how to publish databases as interactive, searchable, and embeddable web interfaces in minutes instead of hours. &nbsp;Topics covered:"
Getting started: Digging deep with data journalism;Jaimi Dowdell, Jill Riepenhoff, Angela Caputo;Regency Center;Thursday;9 a.m. - 9:50 a.m.;Are you new to data journalism or does this happen to be your first time at a CAR conference? If so, this session will help you get on track to make sure that you get the best experience possible from the 2013 CAR Conference. We'll highlight sessions and give you tips for success during and after the conference.
Exploratory data analysis;Chase Davis;Regency South;Thursday;9 a.m. - 9:50 a.m.;As journalists, we're accustomed to approaching new data with questions already in mind. This panel is about the opposite approach: using tools and techniques to help data reveal new story ideas to you. We'll talk about the value of exploratory data analysis and walk through an example of how it can help us spot trends and outliers in a new, unfamiliar dataset.
Information design and crossing the digital divide;Christopher Canipe, Helene Sears;Regency North;Thursday;9 a.m. - 9:50 a.m.;For an infographics reporter, crossing the digital divide can be like crossing the desert: you start from a green fertile place where your tools are familiar and your work is an articulate representation of your ideas, but you quickly find yourself struggling to make basic charts in an strange and unforgiving interactive landscape. If you put in the time, you can work as well online as you do in print. But how do you get from Illustrator and Excel to Javascript, D3 and Raphael? And how do you build those skills in the course of your normal workdays and deadlines?
NewsCamp:: Data science for nerdy journalists;Hadley Wickham;Keeneland;Thursday;9 a.m. - 4:50 p.m.;"This day-long, hands-on class taught by Hadley Wickham, author of theggplot2 R plug-in, Assistant Professor of Statistics at Rice University, and developer at RStudio. &nbsp;"
My friend FRED: Using Fed data tools to add context to stories;Keith Taylor;Churchill Downs;Thursday;9 a.m. - 9:50 a.m.;An introduction to Federal Reserve Economic Data (FRED), the Federal Reserve Bank of St. Louis' signature economics database, with easy directions for journalists to tap into it to add context to their stories related to the economy. FRED contains more than 60,000 frequently updated sets of data, ranging from consumer price indexes to regional (metropolitan statistical area) housing charts and unemployment rates. It allows users to automatically compare the data over varying periods of time in customizable charts, and then easily incorporate those charts into print or web publications.
