Title;Speaker;Place;Day;Time;Description
IRE Board of Directors Meeting;;Regis;Thursday;4 p.m. - 7 p.m.;"The IRE Board of Directors will meet at 4 p.m. Thursday in Boston as part of the annual conference. &nbsp;The meeting is open to all IRE members.&nbsp;"
Gag orders and Whitey Bulger: What to do when your sources are silenced (Sponsored by Criminal Justice Journalists);;Arlington-Berkeley;Thursday;4:50 p.m. - 5:50 p.m.;"
"
CAR under pressure;;Salon E;Thursday;4:50 p.m. - 5:50 p.m.;"
"
Going international: Digging up information from other countries;;Salon C-D;Thursday;4:50 p.m. - 5:50 p.m.;"
"
Demystifying Web scraping;;Clarendon-Dartmouth;Thursday;4:50 p.m. - 5:50 p.m.;"
"
Party with your data! (Hosted by Tableau Public);;Salon F;Thursday;6 p.m. - 7:30 p.m.;Join us for free drinks and T-shirts at the Party with Your Data Happy Hour! First come, first serve - while supplies last!
Blues Bash;;See printed schedule for room information;Thursday;7 p.m. - 11:59 p.m.;"&nbsp;"
Blues Bash (Additional ticket);;See printed schedule for room information;Thursday;7 p.m. - 11:59 p.m.;Please select if you would like to purchase an additional Blues Bash ticket.
What managers really want;;Tremont;Friday;8:30 a.m. - 9:30 a.m.;"
"
Incentives and subsidies: Investigating economic development claims (Sponsored by Bloomberg);;Salon C-D;Friday;8:30 a.m. - 9:30 a.m.;"
"
Navigating the federal FOIA maze;;Clarendon-Dartmouth;Friday;8:30 a.m. - 9:30 a.m.;"
"
Broadcast: The investigative newsroom;;Salons A-B;Friday;8:30 a.m. - 9:30 a.m.;"
"
Uncovering violence and abuse in sports (Sponsored by the Dart Center for Journalism and Trauma and The Dart Society);;Boylston;Friday;8:30 a.m. - 9:30 a.m.;"
"
Excel 1;;Wellesley;Friday;8:30 a.m. - 9:30 a.m.;"
"
Gathering Internet intelligence;;Suffolk;Friday;8:30 a.m. - 9:30 a.m.;"
"
Investigating slavery in the supply chain;;Salon E;Friday;8:30 a.m. - 9:30 a.m.;"
"
Video: What you need to know to get quality vIdeo for your project;;Arlington-Berkley;Friday;8:30 a.m. - 9:30 a.m.;"
"
IRE one day rate professional, academic, associate, retiree;;See printed schedule for room information;Friday;9 a.m. - 5:30 p.m.;"
"
Broadcast: How to get the impossible: People, paper passion;;Clarendon-Dartmouth;Friday;9:40 a.m. - 10:40 a.m.;"
"
Ignored and abused: Investigating caregivers;;Salon A-B;Friday;9:40 a.m. - 10:40 a.m.;"
"
Covering immigration;;Salon E;Friday;9:40 a.m. - 10:40 a.m.;"
"
LinkedIn;;Suffolk;Friday;9:40 a.m. - 10:40 a.m.;"
"
Non-profit/For-profit collaborations: Navigating the terrain;;Boylston;Friday;9:40 a.m. - 10:40 a.m.;"
"
The game plan: Deciding when to do what during an investigation;;Tremont;Friday;9:40 a.m. - 10:40 a.m.;"
"
Investigating public pensions (Sponsored by the Donald W. Reynolds National Center for Business Journalism);;Arlington-Berkeley;Friday;9:40 a.m. - 10:40 a.m.;"&nbsp;"
Excel 2;;Wellesley;Friday;9:40 a.m. - 10:40 a.m.;"
"
Sue me: Dealing with the threat of legal action;;Salon C-D;Friday;9:40 a.m. - 10:40 a.m.;"
"
Google Fusion Tables;;Suffolk;Friday;10:50 a.m. - 11:50 a.m.;"
"
What are they looking for? Inside tips on getting a book or movie deal;;Arlington-Berkeley;Friday;10:50 a.m. - 11:50 a.m.;"
"
Broadcast: Consumer investigations;;Clarendon-Dartmouth;Friday;10:50 a.m. - 11:50 a.m.;"
"
Talking your way to the truth: The art of the interview;;Salon A-B;Friday;10:50 a.m. - 11:50 a.m.;"
"
Paying for investigative journalism;;Tremont;Friday;10:50 a.m. - 11:50 a.m.;"
"
Getting data into Excel;;Wellesley;Friday;10:50 a.m. - 11:50 a.m.;"
"
Managers: Building a watchdog culture in your newsroom;;Tremont;Friday;10:50 a.m. - 11:50 a.m.;"
"
Fighting for records and access (Sponsored by Sunlight Foundation);;Salon C-D;Friday;10:50 a.m. - 11:50 a.m.;"
"
Anatomy of an investigation: The Jack Abramoff scandal;;Boylston;Friday;10:50 a.m. - 11:50 a.m.;"
"
Getting out of the bubble: Beyond traditional search engines;;Suffolk;Friday;noon - 1 p.m.;"
"
Showcase Panel: Investigating power;;Salon E;Friday;noon - 1 p.m.;"
"
Pitch Your Book;;Arlington-Berkeley;Friday;noon - 1 p.m.;"IRE has lined up leading New York and Boston-based literary agents who have agreed to see journalists for a limited number of 10-minute appointments. &nbsp;Bring your resume and your best pitch. &nbsp;Sign-up sheets for available time slots will be available near the registration desk.&nbsp;"
Investigating disability issues;;Salon A-B;Friday;noon - 1 p.m.;"
"
Broadcast: Doing it for free;;Clarendon-Dartmouth;Friday;noon - 1 p.m.;"
"
Media Lawyers Brown Bag (Sponsored by Smallman Law PLLC and IRE);;Salon A-B;Friday;1 p.m. - 2:15 p.m.;"
"
Broadcast: Going undercover;;Clarendon-Dartmouth;Friday;2:15 p.m. - 3:15 p.m.;"
"
Advanced Google search methods for investigative reporting;;Salon E;Friday;2:15 p.m. - 3:15 p.m.;"
"
Building the digital newsroom;;Salon A-B;Friday;2:15 p.m. - 3:15 p.m.;"
"
Managers: Bulletproofing the story;;Tremont;Friday;2:15 p.m. - 3:15 p.m.;"
"
International roundtable: Working across borders and networking;;Salon C-D;Friday;2:15 p.m. - 3:15 p.m.;"
"
Shadow banking (Sponsored by Bloomberg);;Boylston;Friday;2:15 p.m. - 3:15 p.m.;"
"
Getting things done with DocumentCloud;;Suffolk;Friday;2:15 p.m. - 3:15 p.m.;"
"
Google Fusion Tables (hands-on);;Wellesley;Friday;2:15 p.m. - 3:15 p.m.;"
"
Are you ready? Digging into breaking news;;Arlington-Berkeley;Friday;2:15 p.m. - 3:15 p.m.;"
"
On the beat: Businesses and corporations (Sponsored by Bloomberg);;Tremont;Friday;3:25 p.m. - 4:25 p.m.;"
"
Paying for political favor;;Arlington-Berkeley;Friday;3:25 p.m. - 4:25 p.m.;"
"
