Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Even more with R,2014-03-01,4:00:00 p.m.,2014-03-01,4:50 p.m.,False,Speakers: Bill Alpert,Stadium 4,False
The latest from Sunlight,2014-03-01,4:00:00 p.m.,2014-03-01,4:50 p.m.,False,"Speakers: Bill Allison - Developers and journalists from the Sunlight Foundation offer an in-depth look at tools like Scout, which allows users to track subjects across an array of federal legislative and regulatory information; Ad Hawk, a Shazam-like app for political ads; and RealTimeFEC, which parses campaign finance data on the fly. Learn how they were built and how to use them.",Chesapeake,False
When to scrape: Tools and techniques,2014-03-01,4:00:00 p.m.,2014-03-01,4:50 p.m.,False,"Speakers: Nils Mulvad, Janet Roberts",Grand Ballroom West,False
Data deep dives (part 2),2014-03-01,4:00:00 p.m.,2014-03-01,4:50 p.m.,False,"Speakers: Ryan McNeill, Ted Mellnik, Tasneem Raja, Jodi Upton - **Moderated by Jodi Upton, USA TODAY",Salon DEF,False
Digging online for global data,2014-03-01,4:00:00 p.m.,2014-03-01,4:50 p.m.,False,"Speakers: Ricardo Brom, Jeffrey Kelly Lowenstein, Jonathan Stoneman",Grand Ballroom East,False
Python: Beyond the basics II,2014-03-01,4:00:00 p.m.,2014-03-01,4:50 p.m.,False,"Speakers: Serdar Tumgoren, Jeremy Bowers",Stadium 3,False
Cross-platform collaboration for data projects,2014-03-01,4:00:00 p.m.,2014-03-01,4:50 p.m.,False,"Speakers: Lorie Hearn, Josh Kleinbaum, John Walton, Pamela Dempsey - **Moderated by Pam Dempsey, Midwest Center for Investigative Reporting",Salon BC,False
Make your dirty data shine with Open Refine (repeat),2014-03-01,4:00:00 p.m.,2014-03-01,4:50 p.m.,False,Speakers: Roberto Rocha,Salon A,False
CAR Conference Sales (Sunday),2014-03-02,8:30 a.m.,2014-03-02,10:30 a.m.,False,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. The winner of the IRE T-shirt contest will be displayed and on sale.&nbsp;",University Ballroom,False
Where do you want to go: Career roundtable,2014-03-02,9:00:00 a.m.,2014-03-02,9:50 a.m.,False,"Speakers: Anthony DeBarros, Ellen Gabler, Sisi Wei, Lea Thompson, Megan Luther - **Moderated by Ellen Gabler, Milwaukee Journal Sentinel",Grand Ballroom East,False
Advanced searching techniques,2014-03-02,9:00:00 a.m.,2014-03-02,9:50 a.m.,False,"Speakers: Acton Gorton - Learn to apply a systematic approach to finding specific information using the Google and Lexis-Nexis. The workshop will include an overview of key concepts and a walk-through of an audience volunteered search. The overview will cover basics of word stemming, word truncation, word proximity, wildcards, controlled vocabularies and free-text methodologies. The walk-through will demonstrate Google's ""Fuzzy"" search options, in addition to using Lexis-Nexis for newspaper and document retrieval.",Salon DEF,False
Census I: Must-have data for every beat,2014-03-02,9:00:00 a.m.,2014-03-02,9:50 a.m.,False,"Speakers: Paul Overberg, Ronald Campbell, Mike Maciag - Census data spawns its own stories, but it's also the denominator on every beat. Learn the annual schedule and what kind of stories -- breaking and enterprise -- you can do with each release. Hear a reporter explain his own stories. We'll also do '20 in 20':Use 20 minutes to review at least 20 stories done by local journalists like you.",Grand Ballroom West,False
Tools for Social Network Analysis investigations,2014-03-02,9:00:00 a.m.,2014-03-02,11:50 a.m.,False,"Speakers: Joe Germuska, Miranda Mulligan - Join the team from Northwestern U. Knight Lab for a practical, participatory session that will help you incorporate design thinking methodologies into building tools for social network analysis investigations. Plus, help design and develop ideas for new tools while learning more about the Lab's Untangled project. This workshop is designed for beginners and will introduce some intermediate terminology. All welcome: writers, researchers, editors, designers, developers, educators, etc.",Salon BC,False
Installation party,2014-03-02,9:00:00 a.m.,2014-03-02,10:50 a.m.,False,"Many conference sessions cover tools and applications that are open source and available to journalists for free. During this extended session we invite you to bring your laptop and we'll help you get set up with the tools you've heard about and are itching to try out. We will rely on volunteers to help out, so what you're able to &nbsp;install and how long it takes will depend on demand. Remember also that you must have administrative privileges on your machine; if you're blocked from these privileges, we won't be able to override that.",Salon A,False
Mini Boot Camp - Sunday,2014-03-02,9:00:00 a.m.,2014-03-02,11:50 a.m.,False,Kickstart your data skills with IRE's original mini-boot camp. This series of hands-on classes will introduce you to spreadsheets and databases with IRE's proven techniques.,See printed schedule for room information,False
Intro to Fusion Tables,2014-03-02,9:00:00 a.m.,2014-03-02,9:50 a.m.,False,Speakers: David Herzog,Stadium 4,False
How to deal with millions of documents without losing your mind (and time),2014-03-02,9:00:00 a.m.,2014-03-02,9:50 a.m.,False,"Speakers: Sebastian Mondial - Let's steal the best practices from computer forensics and apply them to do better data journalism: Learn how to deal with thousands to millions of documents without loosing your mind (or the data) in them. Find out how to spot odd information, hidden file-types and other artifacts. Get an overview about the software and hardware you need for different tasks.",Chesapeake,False
"Web tools, tips and tricks for investigations",2014-03-02,10:00:00 a.m.,2014-03-02,10:50 a.m.,False,"Speakers: Jaimi Dowdell, Mark Horvit",Grand Ballroom East,False
Build your bot army,2014-03-02,10:00:00 a.m.,2014-03-02,10:50 a.m.,False,"Speakers: Joe Kokenge, Brian Abelson, Abraham Epton",Salon DEF,False
OpenElections hackathon,2014-03-02,10:00:00 a.m.,2014-03-02,6:00:00 p.m.,False,Speakers: TBA,Chesapeake,False
Census II: Going beyond the basics,2014-03-02,10:00:00 a.m.,2014-03-02,10:50 a.m.,False,"Speakers: Paul Overberg, Ronald Campbell - Be prepared to say &ldquo;I didn&rsquo;t know you could do that&rdquo; as we explore more advanced census data and tools. Learn how microdata is the secret sauce that lets you create a custom recipe of census data. Tour the growing ecosystem of tools and data around the American Community Survey. And learn how to do some new tricks, like how to count adult children living with their parents in your town.",Grand Ballroom West,False
Data cleaning in Excel,2014-03-02,10:00:00 a.m.,2014-03-02,10:50 a.m.,False,Speakers: Liz Lucas,Stadium 4,False
A tour of IRE and NICAR (Make the most of your membership),2014-03-02,11:00:00 a.m.,2014-03-02,11:50 a.m.,False,Speakers: TBA,Stadium 4,False
Census III: Mapping and presentation,2014-03-02,11:00:00 a.m.,2014-03-02,11:50 a.m.,False,"Speakers: John Keefe, Chris Amico",Grand Ballroom West,False
What&#39;s the deal with data science?,2014-03-02,11:00:00 a.m.,2014-03-02,11:50 a.m.,False,"Speakers: Chase Davis, Mark Hansen",Grand Ballroom East,False
Feel like you&#39;re hacking without really doing it,2014-03-02,11:00:00 a.m.,2014-03-02,11:50 a.m.,False,Speakers: Samantha Sunne,Salon DEF,False
