Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
NewsCamp::Intro to D3,2014-02-27,10:00:00 a.m.,2014-02-27,11:50 a.m.,False,"Speakers: Irene Ros, Arvind Satyanarayan, Alastair Dant - Mesmerize your audience with elegant and intelligent data visualizations using D3. This JavaScript library takes some of the headache and limitations out of visualizations allowing you to bring data to life using HTML, SVG and CSS. We'll start by demystifying D3 with a look through some of the themes that inspired it. From there we'll look at and work through key concepts.",Grand Ballroom East,False
Enhance your stories with statistics,2014-02-27,10:00:00 a.m.,2014-02-27,10:50 a.m.,False,"Speakers: Steven Rich, Rob Barry - We'll do our best to help you avoid blowing up your newsroom with an explosive mix of means, medians and Fisher's exact test. This survey of statistical tools will demo real-life examples of basic statistical techniques, significance testing, linear models, Monte Carlo simulations and more.",Salon DEF,False
Make dirty data shine with OpenRefine,2014-02-27,10:00:00 a.m.,2014-02-27,10:50 a.m.,False,"Speakers: Frederick Kaimann - Got a big data set that's full of dirty data? OpenRefine to the rescue! In a few easy steps, you'll have polished data in no time. And it's free. OpenRefine is more powerful than a spreadsheet, more interactive and visual than scripting, more provisional/exploratory/experimental/playful than a database. A hands-on workshop. No programming required.",Stadium 4,False
Follow the fracking,2014-02-27,10:00:00 a.m.,2014-02-27,10:50 a.m.,False,"Speakers: Mike Soraghan, Tom McGinty - Fracking is re-shaping the nation's economy and changing a lot of communities along the way. Data can help you steer through the competing claims of big oil and the green lobby for compelling local stories. Mike Soraghan will highlight the data sources he has used to dig into the fracking revolution. Tom McGinty will explain how he used geographic data types in SQL Server to find out how many people live close to oil wells in fracking-heavy states.",Salon BC,False
"Use FOIA Machine to prepare, send and track your public records requests",2014-02-27,10:00:00 a.m.,2014-02-27,10:50 a.m.,False,"Speakers: Michael Corey, Coulter Jones, Djordje Padejski, Shane Shifflett, Steven Melendez - FOIA Machine aids journalists and citizens in accessing important government documents around the world that are covered by freedom of information laws. Speakers will demonstrate how journalists can use the platform in regular work and make the FOIA process more successful and organized.",Chesapeake,False
The data-driven story (Part 1) Conceiving and launching,2014-02-27,10:00:00 a.m.,2014-02-27,10:50 a.m.,False,"Speakers: Jennifer LaFleur, David Donald, Brant Houston - **Moderated by Brant Houston, University of Illinois",Grand Ballroom West,False
Torturing Excel into doing stats,2014-02-27,11:00:00 a.m.,2014-02-27,11:50 a.m.,False,"Speakers: Steve Doig - You don't need a fancy pants program to compute several different sorts of statistics. In this session, you'll learn how to compute basic descriptive statistics in Excel. You'll also learn how to run correlations and regressions in Excel.",Stadium 4,False
Maps and charts in R: real newsroom examples,2014-02-27,11:00:00 a.m.,2014-02-27,11:50 a.m.,False,Speakers: Matthew Waite - R is becoming more and more popular in newsrooms for visualizing data and finding trends. Find out why.,Stadium 3,False
The data-driven story (Part 2) Putting the package together,2014-02-27,11:00:00 a.m.,2014-02-27,11:50 a.m.,False,"Speakers: Brant Houston, Maud Beelman,",Grand Ballroom West,False
Dig into business with data investigations,2014-02-27,11:00:00 a.m.,2014-02-27,11:50 a.m.,False,"Speakers: Rob Barry, Philip Mattera - Businesses raise and spend trillions of dollars, build and tear down property, file for patents and copyrights, set up complex partnerships, sue and get sued, and otherwise file reams of documents every year. With all that activity, they leave plenty of marks for journalists to follow. Take your stories beyond the usual sources and learn how to dig through data for business investigations.",Salon BC,False
